Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in X axis (pixels)
1,3522.9,937.52
2,2887.7,1368.4
3,2711.3,1476.3
4,2337.8,711.56
5,2339.9,598.82
6,2714.1,477.01
7,2766.1,657.58
8,2642.8,246.62
9,2630.3,380.15
10,3570.6,708.91
11,2151.8,948.55
12,2301.9,96.053
13,2147.9,1126.3
14,2986.7,1128.7
15,2865.8,1484.1
16,3626.3,1013.9
17,2269.5,1089.8
18,2865.5,813.99
19,3057.3,1200.8
20,2878,1280
21,2769.2,971.48
22,2998.1,958.11
23,2683.7,131.55
24,2373.7,1269.7
25,2873.4,436.06
26,2469.7,682.14
27,2459.8,1542.6
28,2665,1944.7
29,2197.4,1698.5
30,3379.9,563.82
31,2722.8,586.94
32,2630.5,1326.6
33,3444.5,795.99
34,2355.5,1209.2
35,2309.3,768.83
36,3214.4,125.26
37,2226.2,1494.3
38,2201.6,1351.3
39,2342.6,1538
40,3523.8,1237.3
41,2588.7,702.97
42,2537.3,1827.4
43,2594.6,1494.2
44,2508,1011.6
45,2697.4,763.81
46,5710.6,604.34
47,5649.9,1482.4
48,5670.9,1054.1
49,5643.2,1217.1
50,5440.1,1112.8
51,5347.2,821.49
52,5350.7,503.73
53,5411.3,669.09
54,5408.1,1421.7
55,4929.3,1418.1
56,4859.8,1931.7
57,4889.1,770.6
58,4746.7,915.39
59,5071.2,877.27
60,4726.8,617.55
61,4496,909.04
62,4724.5,1259.2
63,4190.9,778.38
64,5501.6,923.14
65,4613.6,380.93
66,5623.9,819.79
67,5042.3,673.13
68,5252.6,575.2
69,4755.5,398.17
70,5772.7,990.12
71,4342.3,145.85
72,5785,1374.2
73,5503.8,1376.3
74,5435.4,1604.1
75,5078.1,413.48
76,5922.8,1268.7
77,4545.3,622.64
78,4824.5,454.07
79,4490.6,372.07
80,5303.2,159.06
81,5053.7,532.62
82,5327.3,1793.1
83,5279.9,1566.2
84,7840.9,683.73
85,7861,444.6
