""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"
"ENSMUSG00000000001.4"	4389.14454355904	-0.0735604227045046	0.0931047952951097	-0.790081998154271	0.429479882336414	0.999818703842646	"Gnai3"
"ENSMUSG00000000003.15"	0	NA	NA	NA	NA	NA	"Pbsn"
"ENSMUSG00000000028.15"	235.335449952741	0.0401230031389823	0.235075018604552	0.17068169717548	0.864474055171652	0.999818703842646	"Cdc45"
"ENSMUSG00000000037.16"	65.9521171374874	-0.323634055971441	0.378493674025168	-0.855058031828348	0.392519021836092	0.999818703842646	"Scml2"
"ENSMUSG00000000049.11"	22.2448916895525	-0.358775521682237	0.647867558841628	-0.553779112390995	0.579730024927528	0.999818703842646	"Apoh"
"ENSMUSG00000000056.7"	7983.33601916809	0.057621667183046	0.0682235240591728	0.844601154479627	0.398333564262921	0.999818703842646	"Narf"
"ENSMUSG00000000058.6"	5576.17563724262	-0.155828159321205	0.110899305082857	-1.40513197269162	0.159982038200654	0.999818703842646	"Cav2"
"ENSMUSG00000000078.7"	7490.3749422679	-0.0829181723554716	0.0684889443248589	-1.21067966768726	0.226018197824996	0.999818703842646	"Klf6"
"ENSMUSG00000000085.16"	5258.70576453266	0.0114578992219985	0.0751295626894861	0.152508530754459	0.878785862573335	0.999818703842646	"Scmh1"
"ENSMUSG00000000088.7"	14146.4959684682	0.0369227298151575	0.0795376784209692	0.464216840976129	0.642492396570786	0.999818703842646	"Cox5a"
"ENSMUSG00000000093.6"	298.204758674682	0.0373210998884502	0.2918919211802	0.127859310862564	0.898260311908257	0.999818703842646	"Tbx2"
"ENSMUSG00000000094.12"	29.5443896834305	0.00190263038178331	0.67529307402142	0.00281748836909138	0.997751972504291	0.999818703842646	"Tbx4"
"ENSMUSG00000000103.12"	0	NA	NA	NA	NA	NA	"Zfy2"
"ENSMUSG00000000120.6"	506.285985531705	-0.260712681322425	0.272613939756006	-0.956343910937813	0.338898512028531	0.999818703842646	"Ngfr"
"ENSMUSG00000000125.5"	364.02589389221	0.378839533356972	0.1920845417921	1.97225414300648	0.0485806016647309	0.999818703842646	"Wnt3"
"ENSMUSG00000000126.11"	2687.35814696022	-0.141106034648768	0.142055580561311	-0.993315673282311	0.320556141845995	0.999818703842646	"Wnt9a"
"ENSMUSG00000000127.15"	1779.11496737904	0.114310298870626	0.105989294640526	1.07850796873705	0.280807127494909	0.999818703842646	"Fer"
"ENSMUSG00000000131.15"	10894.2584272938	0.00206588300957738	0.0743260272154318	0.0277948800302414	0.977825749530585	0.999818703842646	"Xpo6"
"ENSMUSG00000000134.17"	4551.78905438024	-0.085758859192614	0.0813932500994852	-1.05363600897854	0.292049596441978	0.999818703842646	"Tfe3"
"ENSMUSG00000000142.15"	3258.24966587805	0.0478194435154664	0.0737712004863289	0.648212896092537	0.516847262056762	0.999818703842646	"Axin2"
"ENSMUSG00000000148.17"	2751.45188864358	0.00233096976151946	0.0865046960488357	0.0269461644048033	0.97850267299975	0.999818703842646	"Brat1"
"ENSMUSG00000000149.10"	14918.9242364892	0.17021996611884	0.0699896793750146	2.43207238036879	0.0150127069200612	0.915884368638221	"Gna12"
"ENSMUSG00000000154.16"	77.9331128347901	-0.30293517423352	0.408684463363612	-0.741244655449488	0.458545111967536	0.999818703842646	"Slc22a18"
"ENSMUSG00000000157.16"	6.80504705016392	-1.39327796627139	1.13704551381061	-1.22534933681069	0.220443626864806	0.999818703842646	"Itgb2l"
"ENSMUSG00000000159.16"	29.0143810874615	0.863057679200764	0.678103144652001	1.27275280465434	0.203105773301765	0.999818703842646	"Igsf5"
"ENSMUSG00000000167.14"	168.840425189211	-0.483842521429302	0.298579943433602	-1.62047897747324	0.10512942663966	0.999818703842646	"Pih1d2"
"ENSMUSG00000000168.9"	15379.0189047267	-0.00135700594208049	0.0673787254027226	-0.0201399764387003	0.983931710018321	0.999818703842646	"Dlat"
"ENSMUSG00000000171.5"	9133.51729902537	0.0488237598224179	0.0875835451093001	0.557453569177729	0.577217573833858	0.999818703842646	"Sdhd"
