""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000000001.4"	4315	1858	5635	6512	5026	4818
"ENSMUSG00000000003.15"	0	0	0	0	0	0
"ENSMUSG00000000028.15"	212	112	327	338	287	217
"ENSMUSG00000000037.16"	67	24	71	124	70	78
"ENSMUSG00000000049.11"	23	7	25	44	29	20
"ENSMUSG00000000056.7"	8481	4057	9151	11681	8111	8741
"ENSMUSG00000000058.6"	5202	2963	5446	9246	6139	6148
"ENSMUSG00000000078.7"	7640	3521	8357	11747	8121	8286
"ENSMUSG00000000085.16"	5428	2559	6189	7274	5422	6283
"ENSMUSG00000000088.7"	14275	7323	16393	20523	15780	14463
"ENSMUSG00000000093.6"	232	197	323	285	339	408
"ENSMUSG00000000094.12"	49	10	23	22	32	49
"ENSMUSG00000000103.12"	0	0	0	0	0	0
"ENSMUSG00000000120.6"	279	334	499	875	514	634
"ENSMUSG00000000125.5"	386	185	560	457	381	311
"ENSMUSG00000000126.11"	2996	925	3335	3846	2935	3427
"ENSMUSG00000000127.15"	2002	910	2021	2719	1685	1871
"ENSMUSG00000000131.15"	11594	5063	12873	15355	10950	13227
"ENSMUSG00000000134.17"	4599	2046	5339	6577	4715	5723
"ENSMUSG00000000142.15"	3404	1561	3992	4668	3275	3725
"ENSMUSG00000000148.17"	2978	1234	3298	3869	2917	3191
"ENSMUSG00000000149.10"	15014	8108	18846	21038	14620	15561
"ENSMUSG00000000154.16"	91	32	64	164	92	66
"ENSMUSG00000000157.16"	3	2	5	12	14	9
"ENSMUSG00000000159.16"	35	31	17	26	21	26
"ENSMUSG00000000167.14"	164	45	197	355	189	193
"ENSMUSG00000000168.9"	16587	7319	17427	21816	16328	17687
"ENSMUSG00000000171.5"	8964	4770	10912	13221	10283	9130
"ENSMUSG00000000182.9"	22	10	24	42	41	26
"ENSMUSG00000000183.6"	5	1	8	6	2	0
"ENSMUSG00000000184.12"	11003	4605	12189	14709	10355	12623
"ENSMUSG00000000194.13"	7779	3567	8538	10083	7428	8267
"ENSMUSG00000000197.8"	17086	7616	19049	23623	14729	20061
"ENSMUSG00000000202.9"	3548	1847	4522	5050	3907	3656
"ENSMUSG00000000204.16"	8	8	3	2	5	11
"ENSMUSG00000000214.11"	485	326	918	817	2301	897
"ENSMUSG00000000215.11"	12	14	23	0	2	9
"ENSMUSG00000000216.8"	15	14	42	62	24	23
"ENSMUSG00000000223.13"	9112	3976	11272	12686	9528	11225
"ENSMUSG00000000244.17"	24	9	26	30	35	26
"ENSMUSG00000000247.11"	9301	4524	10134	12582	8869	10111
"ENSMUSG00000000248.16"	5	1	6	3	5	10
"ENSMUSG00000000253.13"	5064	2287	6096	7277	5326	5140
"ENSMUSG00000000263.15"	32	31	30	55	20	115
"ENSMUSG00000000266.11"	3649	1653	4157	5362	3766	4306
"ENSMUSG00000000275.16"	891	422	1369	1376	1256	953
"ENSMUSG00000000276.11"	9580	4955	13786	16286	12014	12918
"ENSMUSG00000000278.10"	1638	982	2631	3117	2332	1992
"ENSMUSG00000000282.12"	5880	2409	7007	7890	5822	7178
"ENSMUSG00000000290.13"	678	346	863	925	642	594
"ENSMUSG00000000295.13"	1002	494	1248	1602	1170	1034
"ENSMUSG00000000296.8"	2308	1047	2629	2954	1956	1998
"ENSMUSG00000000301.16"	248	110	233	327	247	183
"ENSMUSG00000000303.12"	915	326	1076	1582	837	686
"ENSMUSG00000000305.12"	5086	2089	4998	6363	5425	6195
"ENSMUSG00000000308.14"	24968	11681	27707	32893	21867	26494
"ENSMUSG00000000317.11"	191	152	237	301	236	221
"ENSMUSG00000000318.16"	114	36	193	135	109	111
"ENSMUSG00000000320.10"	115	33	112	129	133	93
"ENSMUSG00000000325.16"	1714	1012	2949	3631	2313	2506
"ENSMUSG00000000326.13"	5988	2809	7408	9084	6646	6482
